ID,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
596,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-04,Parts per billion,11.542857,21.8,18,20,Parts per million,0.020375,0.026,0,24,Parts per billion,0.463636,1.1,12,1.0,Parts per million,0.427083,0.663,18,
597,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-04,Parts per billion,11.542857,21.8,18,20,Parts per million,0.020375,0.026,0,24,Parts per billion,0.463636,1.1,12,1.0,Parts per million,0.404167,0.5,12,6.0
598,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-04,Parts per billion,11.542857,21.8,18,20,Parts per million,0.020375,0.026,0,24,Parts per billion,0.383333,0.6,11,,Parts per million,0.427083,0.663,18,
599,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-04,Parts per billion,11.542857,21.8,18,20,Parts per million,0.020375,0.026,0,24,Parts per billion,0.383333,0.6,11,,Parts per million,0.404167,0.5,12,6.0
600,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-05,Parts per billion,6.570833,10.7,19,9,Parts per million,0.020917,0.029,23,27,Parts per billion,0.129167,0.4,23,0.0,Parts per million,0.391917,0.491,9,
601,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-05,Parts per billion,6.570833,10.7,19,9,Parts per million,0.020917,0.029,23,27,Parts per billion,0.129167,0.4,23,0.0,Parts per million,0.391667,0.5,0,6.0
602,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-05,Parts per billion,6.570833,10.7,19,9,Parts per million,0.020917,0.029,23,27,Parts per billion,0.1,0.2,23,,Parts per million,0.391917,0.491,9,
603,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-05,Parts per billion,6.570833,10.7,19,9,Parts per million,0.020917,0.029,23,27,Parts per billion,0.1,0.2,23,,Parts per million,0.391667,0.5,0,6.0
604,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-06,Parts per billion,11.654167,32.9,18,30,Parts per million,0.025042,0.038,9,35,Parts per billion,0.054167,0.6,20,0.0,Parts per million,0.479083,0.999,19,
605,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-06,Parts per billion,11.654167,32.9,18,30,Parts per million,0.025042,0.038,9,35,Parts per billion,0.054167,0.6,20,0.0,Parts per million,0.45,0.6,20,7.0
606,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-06,Parts per billion,11.654167,32.9,18,30,Parts per million,0.025042,0.038,9,35,Parts per billion,0.0375,0.3,20,,Parts per million,0.479083,0.999,19,
607,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-06,Parts per billion,11.654167,32.9,18,30,Parts per million,0.025042,0.038,9,35,Parts per billion,0.0375,0.3,20,,Parts per million,0.45,0.6,20,7.0
608,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-07,Parts per billion,13.8625,28.2,17,26,Parts per million,0.021875,0.032,9,30,Parts per billion,0.333333,0.5,7,0.0,Parts per million,0.458958,0.701,17,
609,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-07,Parts per billion,13.8625,28.2,17,26,Parts per million,0.021875,0.032,9,30,Parts per billion,0.333333,0.5,7,0.0,Parts per million,0.4875,0.6,0,7.0
610,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-07,Parts per billion,13.8625,28.2,17,26,Parts per million,0.021875,0.032,9,30,Parts per billion,0.3125,0.4,17,,Parts per million,0.458958,0.701,17,
611,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-07,Parts per billion,13.8625,28.2,17,26,Parts per million,0.021875,0.032,9,30,Parts per billion,0.3125,0.4,17,,Parts per million,0.4875,0.6,0,7.0
612,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-08,Parts per billion,15.270833,31.7,20,29,Parts per million,0.017292,0.035,10,32,Parts per billion,0.204167,1.0,7,1.0,Parts per million,0.560417,1.063,7,
613,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-08,Parts per billion,15.270833,31.7,20,29,Parts per million,0.017292,0.035,10,32,Parts per billion,0.204167,1.0,7,1.0,Parts per million,0.545833,0.7,8,8.0
614,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-08,Parts per billion,15.270833,31.7,20,29,Parts per million,0.017292,0.035,10,32,Parts per billion,0.1625,0.9,8,,Parts per million,0.560417,1.063,7,
615,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-08,Parts per billion,15.270833,31.7,20,29,Parts per million,0.017292,0.035,10,32,Parts per billion,0.1625,0.9,8,,Parts per million,0.545833,0.7,8,8.0
616,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-09,Parts per billion,17.8625,33.1,19,31,Parts per million,0.011417,0.03,10,28,Parts per billion,0.7,1.9,21,1.0,Parts per million,0.757083,1.43,22,
617,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-09,Parts per billion,17.8625,33.1,19,31,Parts per million,0.011417,0.03,10,28,Parts per billion,0.7,1.9,21,1.0,Parts per million,0.654167,1.1,23,13.0
618,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-09,Parts per billion,17.8625,33.1,19,31,Parts per million,0.011417,0.03,10,28,Parts per billion,0.675,1.7,23,,Parts per million,0.757083,1.43,22,
619,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-09,Parts per billion,17.8625,33.1,19,31,Parts per million,0.011417,0.03,10,28,Parts per billion,0.675,1.7,23,,Parts per million,0.654167,1.1,23,13.0
620,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-10,Parts per billion,16.470833,32.2,21,30,Parts per million,0.011917,0.027,10,25,Parts per billion,1.404167,6.2,13,9.0,Parts per million,0.635208,1.307,0,
621,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-10,Parts per billion,16.470833,32.2,21,30,Parts per million,0.011917,0.027,10,25,Parts per billion,1.404167,6.2,13,9.0,Parts per million,0.725,1.3,1,15.0
622,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-10,Parts per billion,16.470833,32.2,21,30,Parts per million,0.011917,0.027,10,25,Parts per billion,1.375,5.3,14,,Parts per million,0.635208,1.307,0,
623,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-10,Parts per billion,16.470833,32.2,21,30,Parts per million,0.011917,0.027,10,25,Parts per billion,1.375,5.3,14,,Parts per million,0.725,1.3,1,15.0
624,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-11,Parts per billion,21.145833,38.8,19,36,Parts per million,0.011333,0.031,10,29,Parts per billion,0.983333,2.6,8,3.0,Parts per million,0.81725,1.479,20,
625,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-11,Parts per billion,21.145833,38.8,19,36,Parts per million,0.011333,0.031,10,29,Parts per billion,0.983333,2.6,8,3.0,Parts per million,0.766667,1.0,8,11.0
626,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-11,Parts per billion,21.145833,38.8,19,36,Parts per million,0.011333,0.031,10,29,Parts per billion,0.9625,2.0,8,,Parts per million,0.81725,1.479,20,
627,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-11,Parts per billion,21.145833,38.8,19,36,Parts per million,0.011333,0.031,10,29,Parts per billion,0.9625,2.0,8,,Parts per million,0.766667,1.0,8,11.0
628,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-12,Parts per billion,24.720833,41.5,18,39,Parts per million,0.011,0.03,10,28,Parts per billion,1.679167,5.1,21,7.0,Parts per million,0.882875,2.072,21,
629,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2016-01-12,Parts per billion,24.720833,41.5,18,39,Parts per million,0.011,0.03,10,28,Parts per billion,1.679167,5.1,21,7.0,Parts per million,0.866667,1.2,1,14.0
